ContractID,CustomerID,ProductType,AssetType,ContractAmount,InterestRate,TenureMonths,PaymentFrequency,CreditScore,Region,Channel,ContractStatus,StartDate,LastPaymentDate,InsuranceType,PremiumAmount,ClaimsCount,CreatedAt,IsDefault,HasClaim
CT000001,CUST93810,Vehicle Insurance,Other,179260,0,12,Annually,689,West,Branch,Closed,02-11-2021,02-02-2024,No,0,0,02-11-2021,0,0
CT000002,CUST83563,Vehicle Insurance,Car,991859,0,12,Quarterly,776,South,Online,Closed,15-10-2016,02-10-2021,No,0,0,17-10-2016,0,0
CT000003,CUST59797,Loan,Equipment,226016,0.1138,12,Annually,669,Central,Dealer,Active,01-05-2021,31-08-2025,Yes,0,0,02-01-2021,0,0
CT000004,CUST57400,Vehicle Insurance,Car,692988,0,12,Monthly,605,West,Branch,Active,08-11-2017,10-04-2025,No,0,0,22-08-2017,1,0
CT000005,CUST37460,Loan,Equipment,636685,0.3231,36,Monthly,478,East,Branch,Active,04-04-2019,13-08-2025,Yes,0,0,30-04-2019,1,0
CT000006,CUST14207,Equipment Insurance,Bike,81249,0,12,Quarterly,601,South,Branch,Active,20-05-2017,11-01-2025,No,0,0,27-05-2017,0,0
CT000007,CUST83579,Operating Lease,Truck,1011663,0.0671,60,Monthly,715,West,Online,Active,20-07-2016,11-05-2025,Yes,0,0,25-07-2016,0,0
CT000008,CUST99192,Operating Lease,Property,4674911,0.2958,72,Annually,493,North,Online,Active,17-02-2015,16-10-2025,Yes,0,0,20-02-2015,1,0
CT000009,CUST48469,Loan,Property,3233365,0.2387,60,Annually,569,East,MobileApp,Active,01-01-2017,08-04-2025,Yes,0,0,20-01-2017,0,0
CT000010,CUST36071,Equipment Insurance,Car,885905,0,12,Quarterly,606,West,Online,Closed,19-09-2021,23-09-2020,No,126009.05,1,20-09-2021,0,1
CT000011,CUST41571,Property Insurance,Property,5210199,0,12,Annually,696,North,Online,Closed,30-05-2016,06-08-2022,No,0,0,29-06-2016,0,0
CT000012,CUST37760,Vehicle Insurance,Equipment,1129894,0,12,Annually,529,West,Online,Closed,20-10-2020,02-04-2022,No,0,0,11-07-2020,0,0
CT000013,CUST38864,Equipment Insurance,Bike,98897,0,12,Annually,716,West,Branch,Closed,18-10-2015,26-08-2024,No,0,0,15-11-2015,0,0
CT000014,CUST84847,Loan,Car,884545,0.0647,48,Monthly,769,South,Online,Active,23-05-2022,18-08-2025,Yes,0,0,06-12-2022,0,0
CT000015,CUST94696,Loan,Truck,1534819,0.221,60,Monthly,576,South,Online,Active,18-02-2017,21-09-2025,Yes,0,0,19-03-2017,0,0
CT000016,CUST19880,Vehicle Insurance,Car,804750,0,12,Monthly,722,North,Dealer,Active,26-08-2017,27-07-2025,No,0,0,09-07-2017,1,0
CT000017,CUST10282,Operating Lease,Other,124736,0.2042,72,Annually,585,Central,Dealer,Active,26-03-2021,11-12-2025,No,0,0,04-12-2021,1,0
CT000018,CUST17989,Operating Lease,Car,824269,0.1137,12,Monthly,676,North,Online,Active,09-11-2020,08-01-2025,Yes,0,0,14-09-2020,0,0
